HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3AAPLD8UCCHSXTDAPB27QU9B049HT4,A2YCMT5BPA0AG9,Approved,"Wed Jul 22 16:06:04 PDT 2015","Wed Jul 22 16:07:39 PDT 2015",2,1,1,"""d""","""c""","""b""","""a""","""fep""","""wug""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3AWETUDC92SOF0XT1L9ACUB7LDBIZF,A3W6T1WDYXMR3,Approved,"Wed Jul 22 16:06:07 PDT 2015","Wed Jul 22 16:08/Users/langcogra/Downloads/HITResultsFor3DA79LNS59VAG18HKO83XGDEI2B3TU.csv:03 PDT 2015",2,1,1,"""c""","""d""","""a""","""b""","""wug""","""tupa""",1,1,0,1,0,1,0,1,1,1,"""false""","""false""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3IAEQB9FMEK3DUC2YKOSMT1CC6ZWD1,A2Z96TK65BB7LC,Approved,"Wed Jul 22 16:06:11 PDT 2015","Wed Jul 22 16:11:02 PDT 2015",2,1,1,"""d""","""b""","""a""","""c""","""wug""","""blicket""",1,0,0,1,0,1,0,1,1,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",36TFCYNS44AZEAMUUL34FXUHD0XHXN,A27O2IILV3S5YS,Approved,"Wed Jul 22 16:07:49 PDT 2015","Wed Jul 22 16:11:52 PDT 2015",2,1,1,"""d""","""b""","""a""","""c""","""tupa""","""fep""",1,0,1,1,1,1,1,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3EWIJTFFVO7FXAPH186RLGATBDLE0A,A2CEUCPDECS6U3,Approved,"Wed Jul 22 16:06:13 PDT 2015","Wed Jul 22 16:11:57 PDT 2015",2,1,1,"""c""","""b""","""a""","""d""","""fep""","""blicket""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3FTOP5WARFON8QB9F9HIIWNLGLHJ00,AWN1PEZWRQSQ9,Approved,"Wed Jul 22 16:06:23 PDT 2015","Wed Jul 22 16:12:59 PDT 2015",2,1,1,"""a""","""c""","""d""","""b""","""tupa""","""fep""",1,0,1,1,1,1,0,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",37UEWGM5HT84D3F4JXURYSSMVUHR13,A2AU6YNUB39I9F,Approved,"Wed Jul 22 16:06:04 PDT 2015","Wed Jul 22 16:13:14 PDT 2015",1,1,0,"""d""","""a""","""b""","""c""","""wug""","""blicket""",1,0,0,0,0,1,0,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3RXCAC0YIRPVZDQB279UEY1N7RCG8G,A1B79AW7Z2QNHI,Approved,"Wed Jul 22 16:06:04 PDT 2015","Wed Jul 22 16:18:58 PDT 2015",2,1,1,"""d""","""c""","""b""","""a""","""blicket""","""tupa""",1,0,1,1,1,1,1,1,0,1,"""correct""","""false""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3OSWBBLG1EXI2UHS8PKEOCFJL85DXB,A19DZAFFZEU6GN,Approved,"Wed Jul 22 16:05:59 PDT 2015","Wed Jul 22 16:25:51 PDT 2015",1,1,0,"""c""","""a""","""b""","""d""","""wug""","""fep""",1,0,0,1,1,0,0,1,0,1,"""correct""","""correct""",12,true,true,true,true,[],[],7,
3DA79LNS59VAG18HKO83XGDEI2B3TU,"Short word game"," ",3M0NZ3JDP1YC3C2EU1QGNL72GR5Z5M,A1A3TGZ7DKJWRW,Approved,"Wed Jul 22 16:06:25 PDT 2015","Wed Jul 22 16:31:51 PDT 2015",2,1,1,"""b""","""c""","""d""","""a""","""wug""","""tupa""",0,0,0,1,0,1,0,1,0,1,"""correct""","""false""",12,true,true,true,true,[],[],7,
